ft,bt,transmission,price,Seats,Mileage,city
Diesel,Hatchback,Manual,5.08,5,25.2,chennai
Diesel,SUV,Manual,8.65,5,21.5,chennai
Petrol,Sedan,Automatic,8.55,5,20.28,chennai
Diesel,SUV,Manual,9.25,5,23.7,chennai
Petrol,Sedan,Automatic,5.1,5,16.8,chennai
Diesel,Sedan,Automatic,57.0,5,16.1,chennai
Petrol,Hatchback,Manual,3.5,5,18.9,chennai
Petrol,Sedan,Manual,6.3,5,17.8,chennai
Petrol,Hatchback,Manual,4.1,5,20.51,chennai
Petrol,SUV,Manual,7.25,5,17.5,chennai
Petrol,Sedan,Manual,4.66,5,18.0,chennai
Petrol,SUV,Automatic,18.64,5,16.5,chennai
Diesel,SUV,Automatic,27.0,5,15.73,chennai
Petrol,Hatchback,Manual,5.03,5,25.24,chennai
Petrol,Hatchback,Manual,3.09,5,25.17,chennai
Petrol,Sedan,Automatic,6.4,5,18.0,chennai
Petrol,SUV,Manual,8.41,5,17.52,chennai
Diesel,SUV,Manual,18.9,7,16.14,chennai
Petrol,Hatchback,Manual,2.88,5,20.36,chennai
Petrol,SUV,Manual,9.4,5,18.0,chennai
Petrol,Hatchback,Automatic,8.45,5,17.21,chennai
Diesel,SUV,Automatic,20.56,7,14.08,chennai
Diesel,SUV,Automatic,77.0,5,13.38,chennai
Petrol,Hatchback,Manual,4.0,5,20.51,chennai
Petrol,Sedan,Manual,4.25,5,19.1,chennai
Diesel,Sedan,Manual,2.0,5,17.0,chennai
Petrol,Hatchback,Manual,7.5,5,17.74,chennai
Diesel,SUV,Automatic,16.9,5,17.6,chennai
Petrol,Hatchback,Manual,3.1,5,20.36,chennai
Diesel,SUV,Automatic,39.0,7,15.04,chennai
Petrol,Hatchback,Automatic,4.37,5,26.68,chennai
Petrol,SUV,Automatic,10.26,5,17.0,chennai
Diesel,Hatchback,Manual,5.6,5,25.2,chennai
Petrol,Hatchback,Manual,5.32,5,20.89,chennai
Petrol,Hatchback,Manual,3.23,5,24.39,chennai
Petrol,SUV,Manual,7.7,5,17.5,chennai
Petrol,Hatchback,Manual,4.92,5,21.7,chennai
Petrol,Sedan,Manual,6.5,5,17.4,chennai
Petrol,Sedan,Manual,6.33,5,17.8,chennai
Petrol,SUV,Manual,9.82,5,15.8,chennai
Diesel,SUV,Automatic,13.5,5,11.7,chennai
Diesel,SUV,Manual,9.0,5,24.3,chennai
Diesel,Sedan,Manual,3.7,5,25.8,chennai
Petrol,Sedan,Manual,6.2,5,20.73,chennai
Petrol,Hatchback,Manual,4.8,5,20.89,chennai
Petrol,Hatchback,Manual,4.3,5,18.5,chennai
Diesel,Hatchback,Manual,5.0,5,25.2,chennai
Diesel,Sedan,Automatic,76.0,5,16.46,chennai
Petrol,Hatchback,Manual,7.9,5,21.01,chennai
Diesel,Sedan,Automatic,52.0,4,17.09,chennai
Petrol,MUV,Automatic,7.76,7,18.2,chennai
Petrol,Hatchback,Automatic,7.02,5,21.4,chennai
Petrol,Hatchback,Manual,2.9,5,23.95,chennai
Petrol,Hatchback,Manual,3.83,5,25.24,chennai
Petrol,Hatchback,Manual,4.11,5,25.24,chennai
Diesel,Sedan,Manual,6.15,5,26.21,chennai
Petrol,Hatchback,Manual,5.15,5,23.84,chennai
Diesel,Sedan,Automatic,25.75,5,20.37,chennai
Petrol,Hatchback,Manual,5.07,5,18.6,chennai
Petrol,Hatchback,Manual,3.22,5,21.1,chennai
Petrol,Hatchback,Manual,5.75,5,21.4,chennai
Petrol,Hatchback,Manual,8.5,5,21.01,chennai
Diesel,Sedan,Automatic,37.0,5,18.53,chennai
Diesel,SUV,Automatic,18.0,5,15.73,chennai
Diesel,Sedan,Manual,4.25,5,25.8,chennai
Petrol,Hatchback,Manual,6.5,5,21.01,chennai
Diesel,MUV,Manual,7.5,7,12.8,chennai
Diesel,Sedan,Manual,4.5,5,25.8,chennai
Petrol,Sedan,Manual,7.2,5,20.73,chennai
Petrol,Hatchback,Automatic,4.25,5,23.1,chennai
Petrol,Hatchback,Manual,2.35,5,20.36,chennai
Petrol,Hatchback,Automatic,4.37,5,23.1,chennai
Petrol,Hatchback,Manual,4.1,5,16.47,chennai
Petrol,Hatchback,Manual,7.31,5,20.89,chennai
Petrol,Hatchback,Manual,5.02,5,23.84,chennai
Diesel,MUV,Manual,20.5,7,13.68,chennai
Diesel,SUV,Automatic,19.63,7,14.08,chennai
Petrol,Hatchback,Manual,2.22,5,20.92,chennai
Diesel,SUV,Manual,14.97,5,17.0,chennai
Diesel,SUV,Manual,5.29,5,22.7,chennai
Petrol,Hatchback,Manual,2.1,5,18.5,chennai
Petrol,SUV,Manual,9.75,5,17.03,chennai
Petrol,Hatchback,Manual,5.95,5,21.21,chennai
Petrol,SUV,Manual,7.67,5,15.29,chennai
Petrol,Hatchback,Manual,8.25,5,21.0,chennai
Petrol,Hatchback,Automatic,3.35,5,16.95,chennai
Petrol,Hatchback,Automatic,5.58,5,19.0,chennai
Petrol,Hatchback,Manual,6.49,5,19.01,chennai
Diesel,SUV,Automatic,22.5,5,14.6,chennai
Petrol,Sedan,Manual,11.1,5,18.97,chennai
Petrol,Hatchback,Manual,6.72,5,20.89,chennai
Petrol,MUV,Manual,6.75,7,20.0,chennai
Petrol,Sedan,Manual,7.95,5,17.8,chennai
Petrol,Hatchback,Manual,5.87,5,18.6,chennai
Petrol,Hatchback,Automatic,8.07,5,18.2,chennai
Diesel,Hatchback,Manual,2.6,5,20.0,chennai
Diesel,Sedan,Manual,7.6,5,28.4,chennai
Diesel,SUV,Manual,10.7,7,16.0,chennai
Petrol,Hatchback,Manual,6.5,5,21.01,chennai
Petrol,Hatchback,Automatic,5.2,5,21.7,chennai
Diesel,Sedan,Manual,3.5,5,19.3,chennai
Petrol,SUV,Manual,8.75,5,15.8,chennai
Diesel,Sedan,Automatic,43.5,5,21.76,chennai
Diesel,SUV,Automatic,14.5,7,16.0,chennai
Petrol,SUV,Manual,17.25,4,15.2,chennai
Petrol,Hatchback,Manual,3.02,5,22.7,chennai
Diesel,Sedan,Automatic,10.6,5,22.0,chennai
Diesel,MUV,Manual,6.0,8,12.8,chennai
Petrol,Sedan,Manual,7.22,5,19.28,chennai
Petrol,Hatchback,Manual,4.63,5,21.63,chennai
Petrol,Sedan,Manual,6.27,5,19.5,chennai
Petrol,Hatchback,Manual,5.75,5,21.4,chennai
Petrol,SUV,Manual,6.58,5,17.0,chennai
Petrol,Hatchback,Automatic,4.77,5,21.63,chennai
Petrol,Hatchback,Manual,5.0,5,23.84,chennai
Petrol,Hatchback,Manual,6.5,5,21.21,chennai
Petrol,Hatchback,Manual,4.55,5,20.89,chennai
Diesel,Hatchback,Manual,4.75,5,21.19,chennai
Diesel,MUV,Automatic,28.0,7,12.0,chennai
Petrol,Sedan,Automatic,9.75,5,17.0,chennai
Petrol,Sedan,Manual,7.5,5,17.0,chennai
Petrol,Hatchback,Automatic,4.85,5,23.1,chennai
Petrol,Hatchback,Manual,4.6,5,23.1,chennai
Petrol,Sedan,Manual,12.65,5,18.6,chennai
Diesel,Hatchback,Manual,5.67,5,21.19,chennai
Petrol,Hatchback,Manual,6.19,5,23.84,chennai
Petrol,Sedan,Manual,6.3,5,17.8,chennai
Petrol,SUV,Manual,8.35,5,15.8,chennai
Diesel,SUV,Manual,17.03,5,17.41,chennai
Petrol,Hatchback,Manual,6.35,5,21.4,chennai
Diesel,Hatchback,Manual,6.35,5,22.54,chennai
Diesel,Hatchback,Manual,3.0,5,20.0,chennai
Petrol,Hatchback,Manual,6.57,5,18.6,chennai
Petrol,Hatchback,Manual,3.9,5,25.24,chennai
Diesel,Sedan,Manual,6.2,5,24.7,chennai
Petrol,Sedan,Manual,4.65,5,17.0,chennai
Petrol,Hatchback,Manual,5.9,5,18.6,chennai
Diesel,SUV,Manual,9.5,7,12.08,chennai
Diesel,Sedan,Automatic,21.5,5,17.9,chennai
Diesel,Sedan,Automatic,46.0,5,16.1,chennai
Petrol,Sedan,Manual,4.9,5,19.5,chennai
Petrol,Sedan,Manual,6.2,5,16.78,chennai
Diesel,Sedan,Automatic,19.5,5,17.2,chennai
Diesel,Sedan,Automatic,6.8,5,11.5,chennai
Petrol,Hatchback,Manual,5.94,5,18.7,chennai
Petrol,Hatchback,Manual,5.36,5,18.6,chennai
Petrol,Hatchback,Manual,3.65,5,23.1,chennai
Petrol,Hatchback,Automatic,5.44,5,20.89,chennai
Petrol,Hatchback,Manual,5.66,5,23.84,chennai
Petrol,Hatchback,Manual,4.2,5,18.9,chennai
Petrol,Sedan,Manual,7.48,5,17.8,chennai
Petrol,Sedan,Manual,8.8,5,18.6,chennai
Petrol,Sedan,Manual,6.16,5,21.21,chennai
Petrol,SUV,Manual,15.54,5,14.16,chennai
Petrol,Hatchback,Automatic,21.0,5,19.23,chennai
Diesel,SUV,Automatic,21.75,5,15.73,chennai
Diesel,SUV,Automatic,42.0,5,17.9,chennai
Petrol,SUV,Automatic,43.0,5,8.5,chennai
Petrol,Sedan,Manual,7.25,5,16.09,chennai
Petrol,Hatchback,Manual,2.75,5,21.1,chennai
Diesel,SUV,Automatic,57.5,5,15.97,chennai
Petrol,Sedan,Manual,6.35,5,19.0,chennai
Diesel,Sedan,Automatic,18.0,5,13.0,chennai
Diesel,Sedan,Automatic,19.0,5,9.0,chennai
Petrol,Hatchback,Manual,5.1,5,22.38,chennai
Petrol,Hatchback,Manual,8.17,5,22.38,chennai
Diesel,SUV,Manual,8.5,5,23.65,chennai
Petrol,SUV,Manual,5.39,5,15.85,chennai
Petrol,Hatchback,Automatic,5.38,5,21.4,chennai
Petrol,Hatchback,Manual,2.35,5,19.7,chennai
Petrol,Hatchback,Manual,6.66,5,18.6,chennai
Diesel,Hatchback,Manual,2.1,5,20.0,chennai
Petrol,Hatchback,Manual,4.13,5,20.51,chennai
Petrol,Sedan,Manual,5.05,5,22.41,chennai
Petrol,Hatchback,Manual,3.0,5,20.36,chennai
Diesel,Sedan,Automatic,8.9,5,17.68,chennai
Petrol,Hatchback,Manual,1.4,4,16.1,chennai
Petrol,SUV,Automatic,8.1,5,19.03,chennai
Petrol,SUV,Automatic,7.25,5,14.8,chennai
Petrol,SUV,Automatic,17.55,5,17.2,chennai
Petrol,SUV,Manual,10.5,5,16.8,chennai
Petrol,SUV,Manual,10.0,5,17.03,chennai
Petrol,Sedan,Automatic,8.5,5,14.84,chennai
Petrol,Hatchback,Manual,5.08,5,18.6,chennai
Diesel,Sedan,Manual,8.51,5,25.6,chennai
Petrol,Hatchback,Automatic,6.25,5,22.3,chennai
Petrol,Hatchback,Automatic,5.6,5,19.0,chennai
Petrol,Hatchback,Manual,3.35,5,19.81,chennai
Petrol,Hatchback,Manual,4.45,5,18.6,chennai
Diesel,SUV,Manual,8.3,5,23.0,chennai
Petrol,Hatchback,Manual,6.3,5,21.4,chennai
Petrol,Sedan,Manual,5.27,5,22.41,chennai
Petrol,SUV,Automatic,13.2,5,16.8,chennai
Petrol,Hatchback,Manual,8.6,5,22.38,chennai
Petrol,SUV,Manual,7.66,5,15.29,chennai
Petrol,Sedan,Manual,6.1,5,22.41,chennai
Diesel,Sedan,Automatic,4.75,5,21.66,chennai
Petrol,Hatchback,Manual,3.9,5,18.9,chennai
Petrol,Sedan,Automatic,6.8,5,20.1,chennai
Petrol,Sedan,Manual,8.55,5,17.0,chennai
Petrol,MUV,Manual,12.0,6,19.01,chennai
Petrol,Sedan,Manual,17.86,5,18.72,chennai
Petrol,Hatchback,Manual,6.14,5,18.6,chennai
Petrol,Sedan,Manual,3.4,5,17.5,chennai
Petrol,Hatchback,Manual,5.58,5,17.19,chennai
Petrol,MUV,Manual,6.5,7,20.0,chennai
Petrol,Sedan,Automatic,9.5,5,18.3,chennai
Petrol,Hatchback,Manual,7.1,5,22.38,chennai
Petrol,SUV,Automatic,17.0,5,13.96,chennai
Diesel,SUV,Manual,6.84,5,22.77,chennai
Petrol,Hatchback,Manual,3.09,5,22.7,chennai
Petrol,Hatchback,Manual,5.0,5,21.63,chennai
Petrol,Sedan,Automatic,55.0,5,15.3,chennai
Petrol,Hatchback,Manual,6.5,5,21.4,chennai
Petrol,Hatchback,Manual,3.6,5,23.01,chennai
Diesel,SUV,Manual,18.75,6,16.65,chennai
Petrol,Sedan,Manual,4.5,5,19.1,chennai
Petrol,Hatchback,Automatic,6.6,5,21.4,chennai
Diesel,SUV,Manual,9.5,5,24.3,chennai
Petrol,Sedan,Manual,5.0,5,17.0,chennai
Diesel,SUV,Automatic,23.9,7,12.62,chennai
Petrol,Hatchback,Manual,3.61,5,20.51,chennai
Petrol,Hatchback,Manual,5.49,5,18.9,chennai
Petrol,Hatchback,Manual,2.1,5,15.6,chennai
Petrol,Hatchback,Manual,7.04,5,22.38,chennai
Petrol,Sedan,Manual,7.29,5,19.5,chennai
Petrol,Sedan,Automatic,7.0,5,18.0,chennai
Petrol,Hatchback,Manual,6.19,5,18.6,chennai
Petrol,Sedan,Manual,7.25,5,17.8,chennai
Petrol,Hatchback,Manual,6.21,5,20.7,chennai
Petrol,Sedan,Manual,6.85,5,19.5,chennai
Petrol,Sedan,Manual,9.5,5,18.6,chennai
Diesel,SUV,Automatic,18.5,7,12.62,chennai
Diesel,SUV,Manual,18.5,6,16.65,chennai
Diesel,Sedan,Manual,4.1,5,20.5,chennai
Petrol,Sedan,Manual,5.7,5,19.44,chennai
Diesel,SUV,Manual,5.5,7,18.49,chennai
Petrol,Sedan,Manual,6.0,5,17.4,chennai
Diesel,Sedan,Manual,2.26,5,15.0,chennai
Petrol,Sedan,Automatic,13.5,5,14.62,chennai
Diesel,Sedan,Automatic,26.0,5,22.69,chennai
Petrol,Hatchback,Manual,3.65,5,18.9,chennai
Petrol,Hatchback,Manual,7.07,5,17.19,chennai
Petrol,Sedan,Manual,8.0,5,17.0,chennai
Petrol,Hatchback,Manual,5.2,5,20.3,chennai
Petrol,Hatchback,Manual,6.02,5,18.6,chennai
Diesel,Sedan,Automatic,10.5,5,22.0,chennai
Diesel,Hatchback,Manual,5.46,5,22.54,chennai
Diesel,Sedan,Automatic,34.75,5,18.0,chennai
Petrol,Sedan,Manual,11.88,5,18.6,chennai
Petrol,Hatchback,Manual,6.21,5,18.6,chennai
Petrol,Hatchback,Manual,5.15,5,21.21,chennai
Petrol,Hatchback,Manual,6.0,5,16.2,chennai
Petrol,Hatchback,Manual,7.75,5,18.78,chennai
Diesel,SUV,Manual,6.45,5,22.77,chennai
Petrol,Sedan,Manual,6.5,5,18.6,chennai
Diesel,Sedan,Manual,7.0,5,28.09,chennai
Petrol,Sedan,Manual,4.37,5,19.1,chennai
Petrol,Sedan,Manual,4.6,5,19.1,chennai
Petrol,Sedan,Manual,2.5,5,16.36,chennai
Petrol,Hatchback,Manual,5.2,5,18.7,chennai
Petrol,SUV,Manual,5.66,5,15.85,chennai
Petrol,Hatchback,Manual,4.03,5,23.01,chennai
Diesel,SUV,Automatic,49.5,5,16.38,chennai
Petrol,Hatchback,Manual,5.17,5,18.7,chennai
Petrol,Sedan,Manual,4.49,5,19.1,chennai
Petrol,Sedan,Manual,4.55,5,17.0,chennai
Petrol,Sedan,Manual,6.43,5,14.69,chennai
Diesel,SUV,Manual,7.05,7,18.49,chennai
Diesel,Hatchback,Manual,8.89,5,23.64,chennai
Diesel,Sedan,Automatic,6.21,5,26.59,chennai
Diesel,Sedan,Automatic,14.0,5,22.69,chennai
Petrol,Sedan,Manual,6.3,5,17.4,chennai
Petrol,Sedan,Manual,5.3,5,17.4,chennai
Petrol,Hatchback,Manual,6.78,5,21.01,chennai
Diesel,Sedan,Automatic,12.0,5,19.71,chennai
Diesel,Sedan,Manual,5.24,5,20.4,chennai
Diesel,Sedan,Automatic,21.5,5,17.11,chennai
Diesel,Sedan,Manual,6.75,5,22.32,chennai
Diesel,Sedan,Manual,4.7,5,24.4,chennai
Diesel,Sedan,Manual,5.3,5,25.8,chennai
Petrol,Hatchback,Manual,4.63,5,20.3,chennai
Petrol,Hatchback,Automatic,7.27,5,18.2,chennai
Petrol,Sedan,Manual,5.15,5,17.4,chennai
Petrol,Sedan,Manual,5.47,5,22.41,chennai
Diesel,Hatchback,Manual,3.07,5,23.2,chennai
Petrol,SUV,Automatic,48.0,5,13.17,chennai
Diesel,SUV,Manual,5.29,5,22.7,chennai
Petrol,SUV,Automatic,48.0,5,13.17,chennai
Diesel,Hatchback,Manual,6.24,5,25.2,chennai
Petrol,Sedan,Manual,18.16,5,18.72,chennai
Diesel,SUV,Manual,8.5,5,23.65,chennai
Petrol,Sedan,Manual,7.45,5,18.6,chennai
Diesel,SUV,Automatic,30.0,5,18.6,chennai
Petrol,Hatchback,Manual,3.1,5,23.95,chennai
Petrol,Sedan,Manual,4.95,5,20.85,chennai
Petrol,MUV,Manual,8.0,7,17.5,chennai
Diesel,SUV,Automatic,8.25,5,21.5,chennai
Diesel,SUV,Manual,35.75,7,14.24,chennai
Petrol,Sedan,Manual,7.74,5,17.01,chennai
Petrol,Hatchback,Automatic,5.25,5,19.15,chennai
Petrol,Hatchback,Manual,6.0,5,20.4,chennai
Petrol,Hatchback,Manual,5.82,5,18.6,chennai
Petrol,Hatchback,Manual,5.51,5,18.7,chennai
Petrol,Sedan,Manual,5.25,5,20.85,chennai
Petrol,Hatchback,Manual,5.83,5,18.6,chennai
Diesel,Hatchback,Manual,8.25,5,25.0,chennai
Petrol,MUV,Manual,6.7,7,20.0,chennai
Petrol,Hatchback,Manual,3.96,5,16.47,chennai
Diesel,Hatchback,Manual,0.49,5,13.5,chennai
Petrol,Sedan,Manual,5.9,5,20.85,chennai
Petrol,Hatchback,Manual,4.0,5,23.84,chennai
Petrol,Hatchback,Manual,7.0,5,21.4,chennai
Diesel,SUV,Manual,7.0,7,18.49,chennai
Petrol,Hatchback,Automatic,5.95,5,19.0,chennai
Petrol,Hatchback,Manual,4.6,5,22.25,chennai
Petrol,Hatchback,Manual,3.95,5,24.7,chennai
Diesel,Hatchback,Manual,4.35,5,20.14,chennai
Petrol,Hatchback,Manual,6.66,5,18.78,chennai
Petrol,Hatchback,Manual,3.8,5,22.38,chennai
Petrol,Hatchback,Manual,7.0,5,21.4,chennai
Diesel,Sedan,Automatic,6.92,5,22.15,chennai
Diesel,Hatchback,Manual,5.9,5,25.2,chennai
Diesel,Sedan,Manual,1.25,5,17.8,chennai
Petrol,Hatchback,Manual,5.2,5,16.2,chennai
Petrol,Sedan,Manual,6.95,5,17.5,chennai
Petrol,Hatchback,Manual,6.07,5,23.56,chennai
Petrol,SUV,Manual,6.88,5,20.09,chennai
Petrol,Hatchback,Manual,6.6,5,18.9,chennai
Diesel,Hatchback,Manual,2.5,5,20.0,chennai
Petrol,Sedan,Manual,12.45,5,18.6,chennai
Petrol,SUV,Manual,5.75,5,17.5,chennai
Petrol,SUV,Manual,8.45,5,13.0,chennai
Petrol,Sedan,Manual,4.05,5,20.14,chennai
Diesel,Sedan,Manual,3.0,5,23.4,chennai
Petrol,Sedan,Manual,9.25,5,17.4,chennai
Petrol,Hatchback,Manual,7.5,5,21.01,chennai
Diesel,Sedan,Automatic,13.0,5,18.88,chennai
Petrol,MUV,Manual,17.14,6,16.2,chennai
Petrol,SUV,Manual,9.28,5,18.2,chennai
Petrol,Sedan,Manual,9.5,5,18.6,chennai
Petrol,SUV,Manual,7.02,5,20.09,chennai
Diesel,SUV,Manual,8.45,5,20.1,chennai
Diesel,SUV,Automatic,34.75,7,12.51,chennai
Petrol,Hatchback,Automatic,5.13,5,23.84,chennai
Diesel,Sedan,Manual,5.7,5,24.7,chennai
Petrol,SUV,Manual,8.51,7,15.4,chennai
Diesel,Sedan,Automatic,57.9,5,19.62,chennai
Petrol,Hatchback,Manual,3.7,5,23.1,chennai
Petrol,SUV,Manual,19.0,6,14.5,chennai
Petrol,Hatchback,Manual,4.6,5,16.47,chennai
Petrol,Hatchback,Manual,4.6,5,16.47,chennai
Diesel,Hatchback,Manual,3.65,5,21.9,chennai
Diesel,SUV,Automatic,26.0,7,16.25,chennai
Diesel,SUV,Manual,7.9,5,19.72,chennai
Diesel,Hatchback,Manual,4.5,5,22.9,chennai
Petrol,Hatchback,Manual,3.7,5,20.51,chennai
Petrol,Hatchback,Automatic,6.65,5,20.7,chennai
Petrol,SUV,Automatic,10.36,5,18.15,chennai
Petrol,Sedan,Manual,8.75,5,16.0,chennai
Diesel,Hatchback,Manual,5.39,5,24.4,chennai
Petrol,SUV,Manual,8.47,5,20.09,chennai
Petrol,Sedan,Manual,7.55,5,17.4,chennai
Petrol,Hatchback,Manual,4.96,5,19.01,chennai
Diesel,MUV,Manual,3.75,7,13.6,chennai
Petrol,SUV,Automatic,10.09,5,18.76,chennai
Petrol,Hatchback,Manual,3.39,5,18.9,chennai
Diesel,SUV,Automatic,49.0,7,14.75,chennai
Diesel,SUV,Automatic,68.0,7,17.2,chennai
Diesel,Sedan,Automatic,34.0,5,20.37,chennai
Diesel,SUV,Automatic,50.0,5,16.38,chennai
Petrol,Sedan,Manual,5.19,5,12.8,chennai
Diesel,SUV,Automatic,21.5,7,12.07,chennai
Diesel,Sedan,Automatic,14.5,5,17.11,chennai
Diesel,SUV,Manual,8.25,5,23.65,chennai
Diesel,MUV,Manual,18.5,7,13.68,chennai
Petrol,Hatchback,Manual,1.65,5,19.7,chennai
Diesel,SUV,Manual,19.91,7,20.4,chennai
Diesel,SUV,Automatic,19.94,5,14.6,chennai
Petrol,SUV,Automatic,16.45,5,17.88,chennai
Petrol,SUV,Manual,7.19,5,17.0,chennai
Petrol,Hatchback,Automatic,6.33,5,26.0,chennai
Petrol,MUV,Manual,7.99,7,19.34,chennai
Petrol,Hatchback,Automatic,8.61,5,21.4,chennai
Petrol,Sedan,Manual,6.1,5,22.41,chennai
Petrol,MUV,Manual,7.49,7,20.0,chennai
Petrol,Hatchback,Manual,6.48,5,19.01,chennai
Diesel,Sedan,Manual,2.5,5,19.3,chennai
Petrol,Hatchback,Manual,2.65,5,21.1,chennai
Petrol,Hatchback,Manual,4.9,5,16.47,chennai
Petrol,SUV,Manual,15.9,5,16.5,chennai
Petrol,Sedan,Manual,1.14,5,14.4,chennai
Diesel,Sedan,Manual,4.75,5,25.8,chennai
Petrol,Sedan,Automatic,9.73,5,18.3,chennai
Petrol,Hatchback,Manual,6.3,5,18.6,chennai
Petrol,Sedan,Automatic,58.5,5,15.3,chennai
Petrol,Hatchback,Manual,1.5,4,25.4,chennai
Petrol,SUV,Manual,8.27,5,15.8,chennai
Petrol,MUV,Manual,7.15,7,20.0,chennai
Diesel,MUV,Manual,21.0,7,13.68,chennai
Petrol,Hatchback,Manual,5.69,5,18.9,chennai
Petrol,Hatchback,Manual,4.9,5,21.74,chennai
Petrol,Hatchback,Manual,4.85,5,21.7,chennai
Petrol,Hatchback,Manual,4.52,5,18.5,chennai
Petrol,Hatchback,Manual,4.85,5,21.7,chennai
Petrol,Hatchback,Automatic,6.22,5,21.4,chennai
Petrol,Hatchback,Manual,5.54,5,18.6,chennai
Petrol,Hatchback,Manual,3.75,5,18.9,chennai
Petrol,Sedan,Automatic,9.67,5,18.3,chennai
Diesel,Sedan,Manual,4.75,5,24.7,chennai
Petrol,Hatchback,Manual,3.2,5,22.05,chennai
Petrol,Sedan,Manual,6.95,5,18.6,chennai
Diesel,Hatchback,Manual,3.5,5,27.62,chennai
Petrol,Hatchback,Manual,2.5,5,17.0,chennai
Diesel,SUV,Manual,12.5,7,16.0,chennai
Petrol,Hatchback,Manual,2.6,5,22.74,chennai
Diesel,Hatchback,Manual,2.85,5,25.44,chennai
Petrol,Hatchback,Automatic,6.16,5,21.4,chennai
Petrol,Hatchback,Manual,5.94,5,18.6,chennai
Petrol,Hatchback,Manual,3.2,5,24.7,chennai
Petrol,Hatchback,Automatic,6.47,5,19.0,chennai
Petrol,SUV,Automatic,14.0,5,16.5,chennai
Petrol,Sedan,Manual,6.0,5,17.4,chennai
Petrol,Hatchback,Manual,5.05,5,18.9,chennai
Petrol,SUV,Manual,9.0,5,18.27,chennai
Petrol,Hatchback,Manual,7.3,5,18.6,chennai
Petrol,Hatchback,Manual,6.48,5,18.5,chennai
Petrol,Hatchback,Manual,4.35,5,18.5,chennai
Diesel,Sedan,Automatic,9.0,5,21.72,chennai
Petrol,Sedan,Manual,7.4,5,17.4,chennai
Petrol,Hatchback,Manual,3.2,5,21.79,chennai
Petrol,Hatchback,Manual,2.95,5,20.36,chennai
Diesel,SUV,Manual,7.9,7,18.49,chennai
Petrol,Sedan,Manual,5.3,5,17.4,chennai
Diesel,Hatchback,Manual,3.15,5,22.07,chennai
Diesel,Sedan,Automatic,8.5,5,14.84,chennai
Petrol,Sedan,Manual,5.7,5,17.0,chennai
Petrol,Hatchback,Manual,5.76,5,18.6,chennai
Petrol,SUV,Manual,8.42,5,13.0,chennai
Petrol,Sedan,Manual,6.75,5,20.73,chennai
Petrol,Hatchback,Manual,5.18,5,18.9,chennai
Petrol,Hatchback,Manual,3.97,5,20.71,chennai
Petrol,Sedan,Manual,7.75,5,14.3,chennai
Diesel,SUV,Manual,11.66,5,17.1,chennai
Petrol,Sedan,Manual,4.5,5,9.8,chennai
Petrol,Hatchback,Automatic,7.32,5,20.09,chennai
Petrol,SUV,Automatic,5.77,5,16.5,chennai
Petrol,Sedan,Manual,6.0,5,13.14,chennai
Diesel,Hatchback,Manual,5.1,5,20.14,chennai
Diesel,Sedan,Automatic,9.0,5,14.84,chennai
Diesel,SUV,Automatic,15.0,7,11.33,chennai
Petrol,Hatchback,Automatic,6.25,5,25.19,chennai
Petrol,Hatchback,Manual,3.95,5,18.16,chennai
Petrol,MUV,Manual,3.2,7,19.44,chennai
Diesel,Hatchback,Manual,4.5,5,24.29,chennai
Petrol,Hatchback,Manual,4.0,5,20.71,chennai
Diesel,Sedan,Manual,4.85,5,19.3,chennai
Petrol,MUV,Automatic,9.85,7,17.99,chennai
Petrol,Sedan,Manual,6.81,5,17.8,chennai
Petrol,SUV,Automatic,6.21,5,15.63,chennai
Petrol,Hatchback,Automatic,4.1,5,23.95,chennai
Petrol,Hatchback,Manual,5.05,5,18.6,chennai
Petrol,Hatchback,Manual,7.08,5,18.6,chennai
Diesel,SUV,Automatic,17.34,7,15.1,chennai
Petrol,Sedan,Manual,6.5,5,18.6,chennai
Petrol,Hatchback,Manual,7.6,5,18.6,chennai
Diesel,Sedan,Automatic,7.85,5,23.8,chennai
Petrol,Hatchback,Manual,7.45,5,21.01,chennai
Diesel,SUV,Automatic,20.0,7,12.62,chennai
Petrol,Hatchback,Manual,2.7,5,22.7,chennai
Diesel,Hatchback,Manual,4.5,5,22.07,chennai
Petrol,Sedan,Manual,4.2,5,18.6,chennai
Diesel,MUV,Automatic,27.9,7,12.0,chennai
Petrol,Hatchback,Manual,5.5,5,21.79,chennai
Petrol,Hatchback,Manual,4.21,5,23.01,chennai
Petrol,Hatchback,Manual,3.03,5,22.7,chennai
Petrol,Hatchback,Automatic,7.8,5,18.2,chennai
Petrol,Sedan,Manual,6.43,5,20.3,chennai
Petrol,Hatchback,Automatic,4.74,5,23.1,chennai
Petrol,Sedan,Automatic,42.0,5,19.16,chennai
Petrol,Sedan,Manual,6.44,5,21.21,chennai
Petrol,MUV,Manual,12.0,7,19.01,chennai
Petrol,Hatchback,Automatic,5.19,5,20.51,chennai
Diesel,SUV,Manual,8.11,5,23.0,chennai
Petrol,Hatchback,Manual,7.25,5,21.01,chennai
Petrol,Hatchback,Automatic,7.25,5,19.56,chennai
Diesel,Hatchback,Manual,7.5,5,22.54,chennai
Petrol,Sedan,Manual,9.5,5,17.4,chennai
Petrol,Sedan,Automatic,9.25,5,17.0,chennai
Diesel,Sedan,Manual,5.25,5,22.95,chennai
Diesel,MUV,Manual,18.75,7,13.68,chennai
