ft,bt,transmission,price,Seats,Mileage,city
Diesel,Hatchback,Manual,4.36,5,22.54,bangalore
Petrol,SUV,Automatic,16.75,5,18.0,bangalore
Petrol,SUV,Automatic,12.5,5,18.15,bangalore
Diesel,SUV,Automatic,13.5,7,16.0,bangalore
Petrol,SUV,Automatic,12.5,5,18.15,bangalore
Petrol,SUV,Automatic,22.25,5,18.4,bangalore
Petrol,Hatchback,Automatic,4.75,5,23.1,bangalore
Diesel,Sedan,Automatic,6.0,5,13.2,bangalore
Petrol,SUV,Automatic,24.5,5,14.1,bangalore
Petrol,SUV,Automatic,16.25,5,16.5,bangalore
Diesel,Sedan,Automatic,16.5,5,17.2,bangalore
Petrol,Hatchback,Manual,2.49,5,20.36,bangalore
Petrol,SUV,Manual,6.3,5,13.24,bangalore
Diesel,SUV,Automatic,25.99,5,14.16,bangalore
Petrol,Hatchback,Manual,2.49,5,20.36,bangalore
Petrol,Hatchback,Manual,3.85,5,24.39,bangalore
Petrol,Hatchback,Manual,3.0,5,17.0,bangalore
Diesel,SUV,Automatic,29.75,7,10.91,bangalore
Petrol,Hatchback,Manual,2.76,5,22.05,bangalore
Petrol,Hatchback,Manual,5.0,5,18.16,bangalore
Petrol,Hatchback,Automatic,7.3,5,20.89,bangalore
Diesel,SUV,Automatic,22.45,7,18.1,bangalore
Petrol,Hatchback,Manual,3.99,5,18.9,bangalore
Petrol,Hatchback,Manual,3.12,5,20.36,bangalore
Diesel,SUV,Manual,12.75,7,16.0,bangalore
Diesel,SUV,Manual,19.9,5,16.35,bangalore
Petrol,MUV,Manual,7.19,7,20.0,bangalore
Diesel,SUV,Manual,12.6,5,19.67,bangalore
Petrol,Hatchback,Manual,3.0,5,20.36,bangalore
Diesel,SUV,Automatic,39.81,5,15.97,bangalore
Petrol,Hatchback,Manual,6.27,5,18.6,bangalore
Diesel,Sedan,Automatic,13.0,5,16.07,bangalore
Petrol,Sedan,Manual,6.72,5,17.4,bangalore
Diesel,SUV,Automatic,18.25,5,16.38,bangalore
Diesel,SUV,Manual,35.0,7,14.24,bangalore
Petrol,Hatchback,Manual,4.4,5,18.5,bangalore
Diesel,SUV,Manual,14.6,5,17.0,bangalore
Petrol,SUV,Automatic,20.41,5,12.0,bangalore
Petrol,Sedan,Automatic,10.33,5,17.0,bangalore
Petrol,Hatchback,Manual,2.75,5,20.36,bangalore
Petrol,Hatchback,Manual,6.76,5,18.6,bangalore
Diesel,SUV,Automatic,42.9,5,17.9,bangalore
Diesel,SUV,Manual,6.5,5,19.01,bangalore
Diesel,Hatchback,Manual,4.44,5,25.2,bangalore
Petrol,Hatchback,Automatic,5.1,5,22.0,bangalore
Diesel,SUV,Automatic,9.25,5,19.6,bangalore
Petrol,Sedan,Automatic,10.24,5,18.0,bangalore
Diesel,Sedan,Manual,5.0,5,21.14,bangalore
Petrol,Hatchback,Automatic,9.95,5,17.21,bangalore
Petrol,SUV,Automatic,9.35,5,11.1,bangalore
Petrol,SUV,Manual,8.34,5,17.0,bangalore
Diesel,Hatchback,Manual,5.6,5,20.14,bangalore
Petrol,Hatchback,Manual,4.54,5,22.38,bangalore
Petrol,Sedan,Automatic,36.9,5,12.0,bangalore
Petrol,MUV,Manual,11.0,7,11.4,bangalore
Petrol,Hatchback,Manual,4.62,5,19.4,bangalore
Diesel,SUV,Automatic,9.0,7,11.72,bangalore
Petrol,Sedan,Automatic,79.0,4,13.32,bangalore
Petrol,Hatchback,Automatic,8.43,5,21.4,bangalore
Petrol,Hatchback,Manual,7.99,5,21.1,bangalore
Petrol,Hatchback,Manual,5.76,5,18.6,bangalore
Diesel,SUV,Manual,9.49,5,20.37,bangalore
Diesel,SUV,Manual,7.95,5,24.3,bangalore
Petrol,SUV,Manual,10.85,5,18.27,bangalore
Petrol,SUV,Automatic,25.9,5,14.1,bangalore
Diesel,SUV,Manual,5.16,5,20.45,bangalore
Petrol,SUV,Automatic,7.77,5,14.8,bangalore
Petrol,Hatchback,Manual,7.53,5,18.2,bangalore
Diesel,SUV,Automatic,12.26,7,16.0,bangalore
Petrol,Hatchback,Manual,7.25,5,18.7,bangalore
Diesel,Sedan,Manual,11.5,5,22.0,bangalore
Diesel,Hatchback,Manual,6.29,5,25.2,bangalore
Petrol,Sedan,Manual,4.47,5,22.41,bangalore
Petrol,Hatchback,Manual,4.0,5,23.1,bangalore
Diesel,MUV,Manual,7.86,7,20.77,bangalore
Petrol,Hatchback,Manual,7.45,5,18.7,bangalore
Petrol,Hatchback,Automatic,4.9,5,18.9,bangalore
Petrol,Sedan,Automatic,9.42,5,18.0,bangalore
Petrol,SUV,Automatic,6.75,5,15.63,bangalore
Petrol,Hatchback,Manual,3.3,5,19.4,bangalore
Petrol,Sedan,Automatic,8.75,5,17.8,bangalore
Petrol,Hatchback,Manual,8.69,5,21.4,bangalore
Diesel,Sedan,Manual,4.25,5,20.54,bangalore
Petrol,Sedan,Manual,10.7,5,17.4,bangalore
Petrol,SUV,Manual,10.25,5,15.9,bangalore
Diesel,SUV,Manual,10.0,7,16.0,bangalore
Petrol,Sedan,Manual,3.75,5,16.0,bangalore
Petrol,Sedan,Manual,3.75,5,16.0,bangalore
Petrol,SUV,Automatic,8.44,5,14.8,bangalore
Diesel,Hatchback,Manual,7.64,5,21.19,bangalore
Petrol,Hatchback,Manual,4.2,5,18.5,bangalore
Diesel,Hatchback,Manual,6.84,5,27.39,bangalore
Petrol,Hatchback,Manual,8.03,5,21.4,bangalore
Petrol,Hatchback,Manual,3.2,5,17.92,bangalore
Diesel,Sedan,Manual,8.04,5,26.0,bangalore
Diesel,Sedan,Automatic,14.0,5,10.0,bangalore
Petrol,Hatchback,Manual,5.48,5,22.38,bangalore
Petrol,Hatchback,Manual,6.19,5,18.9,bangalore
Diesel,SUV,Manual,10.0,5,24.3,bangalore
Petrol,SUV,Manual,8.65,5,17.5,bangalore
Diesel,SUV,Automatic,10.0,7,11.18,bangalore
Diesel,Hatchback,Manual,5.35,5,25.2,bangalore
Diesel,SUV,Manual,9.75,5,23.0,bangalore
Petrol,Hatchback,Manual,6.99,5,21.4,bangalore
Petrol,SUV,Manual,11.5,5,17.57,bangalore
Petrol,Hatchback,Manual,6.25,5,18.6,bangalore
Diesel,Sedan,Automatic,10.0,5,14.21,bangalore
Diesel,Sedan,Manual,6.0,5,21.43,bangalore
Petrol,Sedan,Manual,6.75,5,22.41,bangalore
Petrol,Sedan,Manual,8.93,5,20.65,bangalore
Diesel,Hatchback,Manual,4.2,5,22.9,bangalore
Petrol,Sedan,Manual,9.41,5,20.65,bangalore
Petrol,Sedan,Automatic,6.3,5,14.5,bangalore
Diesel,MUV,Manual,12.75,7,12.99,bangalore
Petrol,Hatchback,Automatic,5.25,5,18.9,bangalore
Diesel,SUV,Manual,7.5,5,23.65,bangalore
Petrol,Sedan,Automatic,6.32,5,19.12,bangalore
Petrol,Sedan,Manual,6.45,5,22.41,bangalore
Petrol,Sedan,Manual,5.0,5,13.8,bangalore
Diesel,SUV,Automatic,67.95,5,13.38,bangalore
Diesel,SUV,Manual,8.5,5,24.3,bangalore
Petrol,Sedan,Manual,2.99,5,14.7,bangalore
Diesel,Sedan,Automatic,20.95,5,16.36,bangalore
Diesel,SUV,Automatic,28.0,7,12.07,bangalore
Petrol,Hatchback,Manual,9.99,5,18.24,bangalore
Petrol,Hatchback,Manual,8.25,5,18.7,bangalore
Petrol,Hatchback,Manual,2.5,5,18.9,bangalore
Petrol,SUV,Automatic,12.95,5,18.15,bangalore
Petrol,Hatchback,Manual,3.29,5,18.9,bangalore
Petrol,Sedan,Manual,6.66,5,21.56,bangalore
Diesel,Sedan,Automatic,22.9,5,20.38,bangalore
Diesel,SUV,Manual,10.26,5,23.7,bangalore
Petrol,SUV,Automatic,17.0,5,17.2,bangalore
Petrol,Hatchback,Manual,6.81,5,21.4,bangalore
Petrol,SUV,Automatic,16.9,7,14.2,bangalore
Petrol,Hatchback,Manual,3.18,5,24.39,bangalore
Petrol,Hatchback,Manual,6.88,5,21.4,bangalore
Petrol,SUV,Manual,13.0,5,20.08,bangalore
Petrol,Hatchback,Manual,2.65,5,20.36,bangalore
Petrol,Sedan,Automatic,6.45,5,22.0,bangalore
Petrol,SUV,Automatic,20.0,7,14.2,bangalore
Petrol,Hatchback,Manual,6.2,5,21.21,bangalore
Petrol,SUV,Manual,14.7,5,15.43,bangalore
Diesel,Sedan,Automatic,14.75,5,17.11,bangalore
Petrol,Hatchback,Manual,4.15,5,21.74,bangalore
Petrol,Hatchback,Manual,6.1,5,18.7,bangalore
Petrol,Hatchback,Manual,5.6,5,18.9,bangalore
Petrol,Hatchback,Automatic,4.25,5,23.95,bangalore
Petrol,Hatchback,Manual,6.86,5,21.4,bangalore
Petrol,Hatchback,Manual,5.17,5,22.38,bangalore
Petrol,Hatchback,Manual,3.85,5,20.51,bangalore
Petrol,Hatchback,Manual,6.75,5,21.4,bangalore
Diesel,Sedan,Automatic,33.0,5,19.27,bangalore
Petrol,Hatchback,Manual,4.99,5,22.38,bangalore
Petrol,Hatchback,Manual,7.74,5,22.38,bangalore
Diesel,SUV,Manual,14.75,5,16.3,bangalore
Petrol,Hatchback,Manual,2.4,5,18.9,bangalore
Diesel,SUV,Manual,10.25,5,23.7,bangalore
Petrol,SUV,Manual,14.0,5,17.33,bangalore
Petrol,Hatchback,Manual,2.85,5,21.1,bangalore
Diesel,SUV,Manual,10.0,7,16.0,bangalore
Petrol,Hatchback,Manual,7.8,5,21.4,bangalore
Petrol,Hatchback,Manual,4.75,5,18.6,bangalore
Diesel,SUV,Manual,7.5,5,20.0,bangalore
Petrol,Hatchback,Manual,5.55,5,18.9,bangalore
Petrol,Hatchback,Manual,6.07,5,18.7,bangalore
Petrol,Hatchback,Manual,5.14,5,18.9,bangalore
