ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,5.23,Petrol,5,49707,Manual,18.9
Petrol,Hatchback,Manual,1,Honda,Honda Brio,2012,2.4,Petrol,5,59443,Manual,19.4
Cng,Sedan,Manual,1,Maruti,Maruti Swift Dzire Tour,2022,7.54,CNG,5,30000,Manual,31.12
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2017,12.85,Petrol,5,52000,Automatic,16.0
Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2019,13.17,Diesel,7,40398,Automatic,15.1
Petrol,SUV,Manual,1,Jeep,Jeep Compass,2019,14.65,Petrol,5,50000,Manual,16.0
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2017,4.91,Petrol,5,84181,Manual,18.6
Petrol,Hatchback,Manual,1,Mahindra,Mahindra KUV 100 NXT,2018,5.5,Petrol,6,10000,Manual,18.15
Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,6.18,Diesel,5,66434,Manual,28.4
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,7.75,Petrol,5,40000,Automatic,14.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2007,0.8,Petrol,5,100000,Manual,18.9
Petrol,SUV,Automatic,1,Ford,Ford Ecosport,2018,7.75,Petrol,5,40000,Automatic,14.8
