ft,bt,transmission,ownerNo,oem,model,modelYear,price,Fuel Type,Seats,Kms Driven,Transmission,Mileage
Petrol,Sedan,Automatic,1,Skoda,Skoda Superb,2022,39.0,Petrol,5,12000,Automatic,15.1
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,74.0,Diesel,5,13000,Automatic,16.1
Diesel,SUV,Automatic,2,Hyundai,Hyundai Creta,2018,10.99,Diesel,5,32000,Automatic,17.01
Petrol,Convertibles,Automatic,1,Mercedes-Benz,Mercedes-Benz SLC,2017,64.75,Petrol,2,7023,Automatic,19.0
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2020,42.5,Petrol,5,11000,Automatic,11.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2017,4.22,Petrol,5,50629,Manual,22.38
Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2019,6.78,Petrol,5,63534,Automatic,21.4
Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2018,3.0,Petrol,5,52000,Manual,20.3
Cng,Hatchback,Manual,1,Maruti,Maruti Alto 800,2022,4.96,CNG,4,33695,Manual,31.59
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2015,4.63,Petrol,5,68744,Automatic,19.0
Petrol,Sedan,Manual,1,Honda,Honda City,2013,4.55,Petrol,5,70000,Manual,16.8
Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2020,7.51,Petrol,5,9540,Automatic,23.84
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2017,7.75,Petrol,5,45000,Automatic,19.12
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2019,6.78,Petrol,5,36861,Manual,21.4
Petrol,SUV,Manual,1,Ford,Ford Ecosport,2017,5.5,Petrol,5,68000,Manual,15.9
Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2014,3.9,Petrol,5,68000,Manual,19.1
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2015,3.95,Petrol,5,38000,Manual,21.21
Petrol,Hatchback,Manual,1,Renault,Renault KWID,2017,2.95,Petrol,5,39000,Manual,23.01
Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2017,5.99,Petrol,5,40000,Manual,16.2
Petrol,SUV,Automatic,1,MG,MG Hector Plus,2020,17.49,Petrol,6,18000,Automatic,11.67
Petrol,Hatchback,Automatic,1,Maruti,Maruti Wagon R,2019,3.99,Petrol,5,60000,Automatic,20.51
Diesel,Sedan,Manual,1,Ford,Ford Aspire,2018,4.49,Diesel,5,40000,Manual,25.83
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2018,3.0,Petrol,5,68000,Manual,23.95
Petrol,Hatchback,Manual,2,Maruti,Maruti Ignis,2017,4.49,Petrol,5,40000,Manual,20.89
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2014,2.95,Petrol,5,37000,Manual,21.79
Petrol,Sedan,Automatic,1,Maruti,Maruti Swift Dzire,2018,6.49,Petrol,5,21912,Automatic,21.21
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,2.74,Petrol,5,74564,Manual,20.36
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2019,3.75,Petrol,5,48000,Manual,24.7
Petrol,Sedan,Automatic,1,Honda,Honda City,2017,8.01,Petrol,5,96758,Automatic,18.0
Diesel,Sedan,Manual,1,Honda,Honda Amaze,2018,5.91,Diesel,5,60341,Manual,25.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2017,4.34,Petrol,5,36973,Manual,20.4
Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2017,6.99,Diesel,5,39000,Manual,28.09
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2013,2.71,Petrol,5,52514,Manual,18.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2022,5.55,Petrol,5,13001,Manual,21.5
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2018,8.25,Diesel,5,72000,Manual,22.1
Petrol,SUV,Manual,1,Ford,Ford Ecosport,2017,5.99,Petrol,5,62000,Manual,15.9
Petrol,Sedan,Manual,1,Toyota,Toyota Etios,2017,4.81,Petrol,5,34000,Manual,16.78
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2015,3.85,Petrol,5,67000,Manual,18.0
Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2019,6.99,Petrol,5,45000,Manual,18.78
Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2013,3.31,Petrol,5,64000,Manual,20.85
Petrol,Hatchback,Manual,2,Chevrolet,Chevrolet Beat,2013,1.78,Petrol,5,58000,Manual,18.6
Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,2017,9.25,Petrol,5,48000,Automatic,14.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Ritz,2013,2.9,Petrol,5,70000,Manual,18.5
Petrol,Sedan,Automatic,2,Maruti,Maruti Ciaz,2017,5.7,Petrol,5,59863,Automatic,19.12
Cng,Hatchback,Manual,1,Maruti,Maruti Alto 800,2022,4.92,CNG,4,18468,Manual,31.59
Petrol,Hatchback,Manual,2,Ford,Ford Freestyle,2018,5.3,Petrol,5,42173,Manual,19.0
Petrol,SUV,Automatic,2,Ford,Ford Ecosport,2015,4.65,Petrol,5,68631,Automatic,14.7
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,3.51,Petrol,5,18833,Manual,22.05
Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2021,5.15,Petrol,5,55418,Manual,20.89
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2013,2.25,Petrol,5,20000,Manual,20.51
Petrol,MUV,Manual,1,Renault,Renault Triber,2020,6.2,Petrol,7,53400,Manual,20.0
Petrol,Hatchback,Manual,1,Renault,Renault KWID,2018,3.49,Petrol,5,25000,Manual,23.01
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2019,13.85,Petrol,5,87576,Automatic,14.1
Petrol,Hatchback,Manual,1,Honda,Honda Brio,2014,2.9,Petrol,5,58000,Manual,19.4
Petrol,MUV,Manual,1,Datsun,Datsun GO Plus,2015,2.85,Petrol,7,75000,Manual,19.44
Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2013,3.3,Petrol,5,69000,Automatic,14.8
Diesel,SUV,Manual,1,Mahindra,Mahindra Thar,2015,5.49,Diesel,6,20000,Manual,16.55
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2020,3.65,Petrol,5,45000,Manual,22.05
Cng,Sedan,Manual,1,Maruti,Maruti Swift Dzire Tour,2021,6.5,CNG,5,20000,Manual,26.55
Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,4.49,Diesel,5,70000,Manual,23.65
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2017,5.99,Petrol,5,72000,Automatic,19.0
Diesel,SUV,Automatic,0,MG,MG Gloster,2023,46.45,Diesel,6,7800,Automatic,12.04
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2020,4.99,Petrol,5,25000,Manual,20.09
Petrol,SUV,Automatic,1,Lexus,Lexus RX,2020,88.0,Petrol,5,19000,Automatic,18.8
Petrol,Sedan,Automatic,1,Skoda,Skoda Slavia,2022,13.58,Petrol,5,11332,Automatic,18.07
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,5.6,Petrol,5,25456,Manual,21.4
Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2013,2.75,Petrol,5,65000,Manual,21.79
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2017,5.86,Petrol,5,93616,Automatic,19.0
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2017,4.63,Petrol,5,74134,Automatic,26.0
Petrol,SUV,Automatic,1,Renault,Renault Duster,2018,6.99,Petrol,5,70000,Automatic,14.99
Diesel,Hatchback,Manual,2,Maruti,Maruti Baleno,2018,5.93,Diesel,5,62411,Manual,27.39
Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2012,10.5,Petrol,5,56000,Automatic,12.3
Diesel,SUV,Manual,2,Mahindra,Mahindra KUV 100 NXT,2018,5.67,Diesel,5,63661,Manual,25.32
Petrol,SUV,Manual,1,Volkswagen,Volkswagen Taigun,2022,16.5,Petrol,5,14000,Manual,17.88
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2017,9.3,Diesel,7,70000,Manual,16.0
Petrol,SUV,Manual,1,Honda,Honda WR-V,2018,7.49,Petrol,5,50000,Manual,17.5
Petrol,Sedan,Manual,1,Volkswagen,Volkswagen Vento,2011,2.49,Petrol,5,74000,Manual,15.04
Diesel,SUV,Manual,1,Tata,Tata Hexa,2018,8.99,Diesel,7,70000,Manual,17.6
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,2.25,Petrol,5,65000,Manual,19.81
Diesel,Hatchback,Manual,1,Maruti,Maruti Baleno,2015,3.99,Diesel,5,40000,Manual,27.39
Petrol,Hatchback,Manual,3,Chevrolet,Chevrolet Spark,2010,0.8,Petrol,5,60000,Manual,18.0
Petrol,Sedan,Automatic,3,Honda,Honda City,2010,2.25,Petrol,5,81000,Automatic,16.8
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto,2012,1.37,Petrol,5,80000,Manual,19.7
Diesel,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2014,3.89,Diesel,5,107539,Manual,23.4
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,5.48,Petrol,5,52059,Manual,21.4
Petrol,SUV,Manual,1,MG,MG Hector,2021,16.95,Petrol,5,70000,Manual,15.81
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,8.74,Petrol,5,5732,Manual,21.0
Petrol,Sedan,Manual,1,Honda,Honda Amaze,2018,5.96,Petrol,5,53034,Manual,19.5
Petrol,Sedan,Manual,3,Honda,Honda City,2009,1.79,Petrol,5,80000,Manual,17.0
Petrol,Hatchback,Manual,2,Maruti,Maruti Baleno,2017,5.01,Petrol,5,66462,Manual,21.4
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2013,5.75,Diesel,7,70000,Manual,15.1
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2017,4.95,Petrol,5,52444,Manual,21.4
Diesel,SUV,Manual,1,Tata,Tata Safari Storme,2014,5.0,Diesel,7,60000,Manual,14.0
Petrol,SUV,Automatic,2,MG,MG Hector,2019,15.0,Petrol,5,40000,Automatic,13.96
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10 Nios,2022,7.25,Petrol,5,10000,Manual,20.7
Petrol,SUV,Manual,1,Toyota,Toyota Urban cruiser,2022,10.3,Petrol,5,10000,Manual,17.03
Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2017,6.5,Diesel,5,70000,Manual,28.09
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2014,4.5,Petrol,5,14000,Automatic,18.9
Diesel,SUV,Manual,1,Ford,Ford Ecosport,2019,6.89,Diesel,5,39500,Manual,21.7
Petrol,Sedan,Manual,1,Skoda,Skoda Octavia,2018,12.5,Petrol,5,64213,Manual,16.7
Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2021,3.1,Petrol,5,20000,Manual,22.05
Petrol,SUV,Manual,1,Kia,Kia Seltos,2019,12.0,Petrol,5,60000,Manual,16.5
Diesel,Pickup Trucks,Manual,1,Isuzu,Isuzu D-Max,2018,12.8,Diesel,5,120000,Manual,12.4
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2017,4.52,Petrol,5,48768,Manual,18.9
Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2020,4.04,Petrol,5,91970,Manual,25.24
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2023,20.25,Petrol,5,7100,Automatic,17.9
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,4.73,Petrol,5,34936,Manual,21.4
Petrol,Hatchback,Manual,3,Honda,Honda Jazz,2011,2.52,Petrol,5,64071,Manual,16.7
Petrol,SUV,Manual,1,Honda,Honda WR-V,2022,9.5,Petrol,5,10000,Manual,16.5
Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2018,6.33,Petrol,5,60443,Automatic,21.4
Petrol,Sedan,Automatic,1,Honda,Honda City,2017,8.75,Petrol,5,56000,Automatic,18.0
Petrol,Hatchback,Manual,2,Maruti,Maruti Swift,2015,4.13,Petrol,5,10056,Manual,22.38
Petrol,Sedan,Manual,1,Honda,Honda City,2020,11.0,Petrol,5,13000,Manual,17.4
